"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"SUM",44,"NG","Live",2,44,"HL",1,"SR",8,2,0,0,"TN","45825",NA
"WIL",44,"NG","Live",2,44,"HL",1,"SR",6,4,0,0,"TN","45827",NA
"SUM",44,"NG","Live",2,44,"HL",2,"OH",10,0,0,0,"TN","45825",NA
"WIL",44,"NG","Live",2,44,"HL",2,"OH",7,3,0,0,"TN","45827",NA
"SUM",44,"NG","Live",2,44,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",44,"NG","Live",2,44,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",45,"RC","Live",2,45,"HL",1,"RC",0,9,1,0,"TN","45825",NA
"WIL",45,"RC","Live",2,45,"HL",1,"RC",0,10,0,0,"TN","45827",NA
"SUM",45,"RC","Live",2,45,"HL",2,"AH",9,1,0,0,"TN","45825",NA
"WIL",45,"RC","Live",2,45,"HL",2,"AH",6,3,1,0,"TN","45827",NA
"SUM",45,"RC","Live",2,45,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",45,"RC","Live",2,45,"HL",3,"CR",8,2,0,0,"TN","45827","extra bag not labeled on whirl pak"
"SUM",46,"BB","Dead",2,46,"HL",1,"SR",8,1,1,0,"TN","45826",NA
"WIL",46,"BB","Dead",2,46,"HL",1,"SR",4,5,1,0,"TN","45827",NA
"SUM",46,"BB","Dead",2,46,"HL",2,"CR",7,3,0,0,"TN","45826",NA
"WIL",46,"BB","Dead",2,46,"HL",2,"CR",6,2,2,0,"TN","45827",NA
"SUM",46,"BB","Dead",2,46,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",46,"BB","Dead",2,46,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",47,"HR","Dead",2,47,"HL",1,"HG",8,2,0,0,"HL","45845",NA
"WIL",47,"HR","Dead",2,47,"HL",1,"HR",7,0,3,0,"TN","45827",NA
